25000000 50
1 3671711 10
2 1158636 4
3 1348515 7
4 4631883 1
5 5153966 8
6 775006 0
7 4291365 6
8 5950341 10
9 5463629 9
10 511034 1
11 5537872 5
12 2739815 1
13 6379431 2
14 6091999 8
15 5587754 5
16 3940922 10
17 3406716 1
18 5506457 6
19 4908465 0
20 726670 9
21 3037722 10
22 6374522 7
23 1263497 2
24 2718196 3
25 5489364 3
26 5753623 8
27 1239107 0
28 1690985 8
29 910287 1
30 3920448 10
31 6229739 9
32 4164535 5
33 1102345 7
34 4114074 4
35 3859697 8
36 3575302 6
37 6499225 4
38 5079683 1
39 1487719 2
40 3979251 4
41 4796264 3
42 4650464 10
43 3889974 7
44 4286163 5
45 4424419 9
46 3605045 6
47 5424622 0
48 3351422 3
49 646288 1
50 5461903 9
