50000000 75
1 4003216 8
2 1044865 9
3 2102322 4
4 5675923 9
5 2778332 0
6 1280099 5
7 1162746 10
8 2521799 1
9 5384894 1
10 4098714 4
11 4516851 6
12 3899703 2
13 5348295 4
14 3118210 3
15 3650262 1
16 1770568 8
17 1751026 6
18 1676528 0
19 3229383 9
20 3893534 6
21 3166315 9
22 1894898 6
23 2702556 6
24 2152122 1
25 4859966 2
26 5784430 5
27 5668715 1
28 2995412 1
29 5847819 9
30 4762112 8
31 4222187 9
32 5751064 8
33 2265157 9
34 5513259 8
35 903537 2
36 516418 1
37 1337228 2
38 5666780 3
39 2929060 4
40 724160 8
41 2707066 7
42 6297117 1
43 4410877 9
44 3936493 10
45 6084331 9
46 4318448 7
47 1417298 7
48 790828 5
49 1066910 0
50 4885127 5
51 3747688 4
52 1704536 4
53 1733801 9
54 4888847 3
55 2804895 3
56 3365975 10
57 1223184 5
58 6134528 3
59 5162082 10
60 4213286 10
61 4540822 5
62 4442198 4
63 4063944 8
64 1855583 3
65 1430829 6
66 4282368 4
67 5583036 3
68 604777 5
69 1908306 2
70 3714589 2
71 4641816 5
72 3118487 5
73 6068546 3
74 6121909 8
75 4413227 0
