80000000 75
1 4802011 3
2 2122061 3
3 2068384 10
4 549933 9
5 1944221 1
6 4757096 1
7 2805753 7
8 4519400 5
9 5854209 6
10 1894233 3
11 3273371 5
12 2768541 7
13 2200926 1
14 3858298 6
15 6014781 0
16 4732891 2
17 2588010 10
18 5555032 1
19 4255735 9
20 5625915 3
21 2732866 2
22 3504991 2
23 4885093 5
24 3029669 6
25 1709324 6
26 4789728 1
27 1924938 5
28 5411426 5
29 6012422 10
30 2006814 1
31 5748718 7
32 4172687 2
33 5473576 10
34 1388121 3
35 5707805 0
36 1848160 7
37 2645175 8
38 3768629 9
39 1060525 8
40 3325992 10
41 3743549 7
42 5680409 9
43 2573497 7
44 1653801 1
45 4207265 3
46 2799257 4
47 1803199 5
48 2326138 9
49 1027808 6
50 1662189 2
51 3712037 4
52 1139322 10
53 3090390 6
54 3348927 6
55 2712824 2
56 1547618 7
57 1660261 6
58 1486524 1
59 5562827 1
60 3870109 6
61 3011435 9
62 1702490 2
63 1959210 9
64 1606595 0
65 4748538 7
66 1158755 6
67 2122644 2
68 2975201 9
69 2333288 1
70 5865121 8
71 2421051 3
72 5965067 5
73 4645873 3
74 5419280 9
75 3554777 4
