80000000 100
1 2365760 0
2 5614175 8
3 1622498 0
4 5329364 5
5 1244324 10
6 840467 1
7 6243936 8
8 521473 3
9 3276397 2
10 1243518 2
11 1319591 5
12 5776904 0
13 1814133 3
14 3336689 3
15 3101292 9
16 804685 6
17 3025026 10
18 2865373 0
19 2371867 4
20 2009878 5
21 4529077 0
22 2168281 9
23 2089086 10
24 3142659 0
25 2926524 8
26 4888511 4
27 4828597 4
28 2064685 3
29 6127982 1
30 2680050 2
31 3421050 0
32 3688833 6
33 5893406 9
34 5164312 5
35 5130795 10
36 2609778 0
37 632676 6
38 2750074 7
39 6358438 0
40 5631561 5
41 6394469 7
42 1061471 5
43 4089484 3
44 2496290 9
45 3866646 3
46 672198 4
47 5478326 8
48 4360710 0
49 6060769 3
50 4664876 4
51 4896860 10
52 2523571 10
53 1945062 1
54 5651613 4
55 4682225 9
56 2202210 3
57 2268359 7
58 2985441 5
59 1970597 1
60 5425644 9
61 2723769 6
62 3654189 9
63 1935986 10
64 3322200 0
65 2293462 1
66 5886792 5
67 928502 1
68 503127 5
69 2618136 0
70 4748634 2
71 1100402 10
72 758112 4
73 3955387 10
74 1126923 2
75 5003490 6
76 5540318 2
77 2652878 2
78 5997271 7
79 1677333 3
80 1509112 1
81 3189857 4
82 2711628 2
83 4549429 4
84 2349935 1
85 912417 2
86 5895947 1
87 6273241 1
88 1827301 9
89 3789065 9
90 4293826 1
91 4981059 6
92 5642555 10
93 5644654 0
94 5119439 1
95 5938868 1
96 539100 2
97 2185110 0
98 5576442 10
99 2959371 9
100 3216750 9
